"BOM Report: LOOD-17747-001, Last Modified: 2025-02-14-07-12-34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOM Usage Attributes,,,,,,,,,,,,,,,,,,,Naming,,,,,,,,,,,,,,Part Attributes,,,,,,,,,,,,,,,,,,,,CAD Physical Attributes,,,,Physical Attributes,,,,,,CS Attributes,,System Attributes,,,
Level,Number,Type,Assembly Mode,L-Nr.,QTY,Unit,Version,Name,State,Service Level,"Food
Contact ",Delivery Item,"Lifetime 
Quantity",Lifetime Unit,"SPC 
Termination","Initial Spare 
Part Indic.","Operating
Element","BOM
Class 1",Name EN-US,Description EN-US,Name DE-DE,Description DE-DE,Name ZH-CHS,Description ZH-CHS,Name ES-ES,Description ES-ES,Name PT-BR,Description PT-BR,Name CS-CZ,Description CS-CZ,Name VI-VN,Description VI-VN,Partner,Source,Comparable,Configuration Type,Default Unit,"Reuse Not 
Allowed","Old Part 
Number",Machine Type,Basic Material,"Basic Material
Description",Supersede,Superseded By,"Material 
Group","No Logistic 
Relevance","Dangerous
Good Indic.",ClassNode,Legacy ID,Electrical Relevant,Doc Classification,Stackability,Delta X [mm],Delta Y [mm],Delta Z [mm],Mass [kg],Length [mm],Width [mm],Height [mm],Netto Weight,Weight Unit,Weight Code,Service Life in Months:,SPC Termination Part:,Design Office,Division,Modified by,Last Modified
0,LOOD-17747-001,Part,Separable,,,,01.2 ,electrical equipment EOS 1550 3018613030,Released,,,,,,,,,,electrical equipment EOS 1550 3018613030,electrical equipment EOS 1550 3018613030,elektrisches Betriebsmittel EOS 1550,"elektrisches Betriebsmittel EOS 1550
 3018613030",电气设备 EOS 1550 3018613030,电气设备 EOS 1550 3018613030,equipo eléctrico EOS 1550 3018613030,equipo eléctrico EOS 1550 3018613030,equipamento elétrico EOS 1550 3018613030,equipamento elétrico EOS 1550 3018613030,elektrické zařízení EOS 1550 3018613030,elektrické zařízení EOS 1550 3018613030,thiết bị điện EOS 1550 3018613030,thiết bị điện EOS 1550 3018613030,"BLOA, BLOC",Buy,LOOA-18015-001,,each,,,,_,,,,22105200,false,,,,,,,,,,750,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Yang, Ian",2025-02-14 07:12:34
1,LOOD-17906-001,Part,Separable,1,1,each,02.2 ,circuit diagram EOS 1550 3018613030,Released,,,,,,,,,,circuit diagram EOS 1550 3018613030,circuit diagram EOS 1550 3018613030,Stromlaufplan EOS 1550 3018613030,Stromlaufplan EOS 1550 3018613030,线路图 EOS 1550 3018613030,线路图 EOS 1550 3018613030,esquema de circuitos EOS 1550,"esquema de circuitos EOS 1550
 3018613030",esquema do circuito elétrico EOS 1550,"esquema do circuito elétrico EOS 1550
 3018613030",schéma zapojení EOS 1550 3018613030,schéma zapojení EOS 1550 3018613030,sơ đồ mạch EOS 1550 3018613030,sơ đồ mạch EOS 1550 3018613030,BLOC,Buy,,,each,,,,,,,,22105200,false,,,,,,,,,,0.01,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Yang, Ian",2025-02-10 08:08:50
1,LOOA-15311-001,Part,Separable,2,1,each,02.2 ,nameplate for cabinet Buhler,Released,,,,,,,,,,nameplate for cabinet Buhler,nameplate for cabinet Buhler,Typenschild zum Schrank Buhler,Typenschild zum Schrank Buhler,铭牌   机箱 Buhler,铭牌   机箱 Buhler,placa de identificación para armario,"placa de identificación para armario
 Buhler",placa de identificação para armário,"placa de identificação para armário
 Buhler",,,biển lược tả để tủ Buhler,biển lược tả để tủ Buhler,"BLOA, BLOC",Buy,102134026,,each,,102210549,,,,,,,false,,,,,,,0,0,0,0,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Yan, Leo",2019-03-15 09:02:57
1,LOOD-17907-001,Part,Separable,3,1,each,00.2 ,nameplate info EOS,Released,,,,,,,,,,nameplate info EOS,nameplate info EOS,Typenschild Info EOS,Typenschild Info EOS,铭牌 信息 EOS,铭牌 信息 EOS,placa de identificación información EOS,placa de identificación información EOS,placa de identificação informação EOS,placa de identificação informação EOS,typový štítek informace EOS,typový štítek informace EOS,biển lược tả thông tin EOS,biển lược tả thông tin EOS,BLOC,Buy,,,each,,,,,,,,22105200,false,,,,,,,,,,0.01,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Yang, Ian",2024-12-06 08:40:45
1,LOOD-12358-001,Part,Separable,5,1,each,01.2 ,F-BOM Ares =A00,Released,,,,,,,,,A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,F-BOM Ares =A00,"BLOA, BLOC",Buy,,,each,,,,,,,,22105200,false,,,,,,,,,,0.01,,,,,kg,Specified,,,M60 M2M LO BLOC,OP Optics (B8),"Li Dongdong, DAUTO",2022-07-12 03:25:55
2,LONT-18554-001,Standard Part,Component,10,1,each,00.2 ,Cabinet TS8605   600x2000x500,Released,,,,,,,,-10,+K1,Cabinet TS8605   600x2000x500,"Cabinet TS8605   600x2000x500   Rittal Order number TS8605.500  Special lacquering Cabinet System    Dimensions WxHxT  : 600x2000x500mm  Cabinet frame     : 1,5mm sheet  steel Doors       : 2,0mm sheet  steel Back wal    : 1,5mm Sheet steel  Mounting plate    : 3,0mm Sheet steel / galvanized  Floor panel       : 1,5mm sheet steel  Colour            : RAL7035 / Special lacquering  Protection type   : IP55  / NEMA 12  ",Topschrank TS8    600x2000x500   RAL7035,"TH-TEXT
Rittal Bestell-Nr. TS8605.600
                   Sonderlackierung
------------------------------------------------------------
TT-TEXT
Topschrank-System
Abmessungen BxHxT : 600x2000x500mm
Schrankgerüst     : 1,5mm Stahlblech
Türen             : 2,0mm Stahlblech
Rückwand          : 1,5mm Stahlblech
Montageplatte     : 3,0mm Stahlblech / verzinkt
Bodenbleche       : 1,5mm Stahlblech
Farbe             : RAL7035 / Sonderlackierung
*** Text shortened by migration! ***",,"机柜 TS8605   600x2000x500威图 订单号 TS8605.500                   特种
涂层机柜系统尺寸 宽x高x深： 600x2000x500mm机柜框： 1.5mm 钢板柜门：
2.0mm 钢板后墙： 1.5mm 钢板安装板： 3.0mm 钢板 / 镀锌地面板： 1.5mm 钢板
颜色： RAL7035 / 特种涂层保护类型： IP55  / NEMA 12
",,,,,,,,,"BLOC, BLOA",Buy,,,each,false,10105010,,,,,,,false,Dangerous Good No / Hazardous Good No,K01068,,,,,,,,0.01,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"Zandonella, Romolo",2023-10-09 02:24:47
2,LONT-18555-001,Standard Part,Component,20,2,each,00.1 ,Seitenwand asym.TS8105  500X2000 RAL7035,Released,,,,,,,,-20,+K1,Side Panel TS8105 500x2000       RAL7035,Side Panel TS8105 500x2000       RAL7035   ,Seitenwand asym.TS8105  500X2000 RAL7035,Seitenwand asym.TS8105  500X2000 RAL7035   ,,"侧面板 TS8105 500x2000       RAL7035
",,,,,,,,,"BLOC, BLOA",Buy,,,each,false,102098318,,,,,,,false,Dangerous Good No / Hazardous Good No,,,,,,,,,0.1,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"ST, Import",2017-08-07 09:27:36
2,LONT-18556-001,Standard Part,Component,30,1,each,00.6 ,switch cabinet 1200x2000x600,Closed Out,,,,,,,,-30,+K1,switch cabinet 1200x2000x600,"switch cabinet 1200x2000x600
 manufacturer Rittal
order no. TS8206.500  
RAL 7035
dimensions 1200x2000x600 
with mounting plate galvanized
weight 195kg",Schaltschrank 1200x2000x600,"Schaltschrank 1200x2000x600
 Hersteller Rittal
Bestell-Nr. TS8206.500  
RAL 7035
Abmessungen 1200x2000x600 
mit Montageplatte verzinkt
Gewicht 195kg",控制柜 1200x2000x600,"控制柜 1200x2000x600
 制造商 Rittal
订单号 TS8206.500  
劳尔色卡 7035
尺寸 1200x2000x600 
  电器安装板 镀锌
砝码 195kg",armario eléctrico 1200x2000x600,"armario eléctrico 1200x2000x600
 fabricante Rittal
n.º de pedido TS8206.500  
RAL 7035
dimensiones 1200x2000x600 
con placa de montaje galvanizado
pesa 195kg",painel elétrico 1200x2000x600,"painel elétrico 1200x2000x600
 fabricante Rittal
n.° de encomenda TS8206.500  
RAL 7035
dimensões 1200x2000x600 
com placa de montagem galvanizado
peso 195kg",řídící rozvaděč 1200x2000x600,"řídící rozvaděč 1200x2000x600
 výrobce Rittal
obj. č. TS8206.500  
RAL 7035
rozměry 1200x2000x600 
s montážní deska pozinkovaný
závaží 195kg",tủ cầu dao 1200x2000x600,"tủ cầu dao 1200x2000x600
 nhà sản xuất Rittal
đơn hàng số TS8206.500  
RAL 7035
kích thước 1200x2000x600 
với bảng lắp thiết bị điện được mạ kẽm
trọng lượng 195kg",Corporate,Buy,,,each,false,10107627,,,,,HAZF-59993-001,27180100,false,Dangerous Good No / Hazardous Good No,K01077,,,,,,,,195,,,,,kg,Specified,,,S13 Standardization  BLOA,OP Optics (B8),"ST, Import",2024-01-31 08:13:18
2,LONT-16878-001,Part,Component,40,1,each,00.1 ,"Abdeckhaube mit Tür TS8609 H=2000, B=600",Released,,,,,,,,-40,+K1,"Cover cap with door        H=2000, B=600","Cover cap with door        H=2000, B=600   RITTAL          Order number: TS8609.030  Cover cap with door in RAL7035  ","Abdeckhaube mit Tür TS8609 H=2000, B=600","Abdeckhaube mit Tür TS8609 H=2000, B=600   TH-TEXT  RITTAL          Best.Nr.: TS8609.030  ------------------------------------------------------------  TT-TEXT  Abdeckhaube mit Tür in RAL7035  ------------------------------------------------------------  ",,"带门罩盖        H=2000，B=600
威图订单号： TS8609.030
带门罩盖 RAL7035
",,,,,,,,,"BLOC, BLOA",Buy,,,each,false,102050294,,,,,,,false,,,,,,,,,,0.01,,,,,kg,Specified,,,M59 M2M LO BLOA,OP Optics (B8),"ST, Import",2017-10-30 08:21:12
2,UNE -14953-101,Standard Part,Component,50,1,each,02.2 ,base element  600 / 100,Released,,,,,,,,-50,+K1,base element  600 / 100,"base element  600 / 100
in front /  at the back
art. no. 8601.600",Sockelelement  600 / 100,"Sockelelement  600 / 100
vorn /  hinten
Art.-Nr. 8601.600",底座元件  600 / 100,"底座元件  600 / 100
前面 /  后面
产品编号 8601.600",elemento de la base  600 / 100,"elemento de la base  600 / 100
delante /  detrás
n.º art. 8601.600",elemento de base  600 / 100,"elemento de base  600 / 100
dianteiro /  atrás
número do artigo 8601.600",díl podstavce  600 / 100,"díl podstavce  600 / 100
vpředu /  vzadu
č. položky 8601.600",chi tiết lắp bệ  600 / 100,"chi tiết lắp bệ  600 / 100
đằng trước /  ở phía xa
mã số sản phẩm 8601.600",BBAN,Buy,,,each,,,,,,,UNE -14955-101,27180100,false,Dangerous Good No / Hazardous Good No,K01099,ST0001900922,,,,,,,4.8,,600,100,4.168,kg,Specified,,BELOW,S01 Standardization  BUZ,ML Insourcing (U9),"Hiremath, Nandini",2024-07-23 08:48:58
2,UNE -14953-104,Standard Part,Component,60,1,each,02.2 ,base element 1200/100,Released,,,,,,,,-60,+K1,base element 1200/100,"base element 1200/100
in front / at the back
art. no.  8601.200",Sockelelement 1200/100,"Sockelelement 1200/100
vorn / hinten
Art.-Nr.  8601.200",底座元件 1200/100,"底座元件 1200/100
前面 / 后面
产品编号  8601.200",elemento de la base 1200/100,"elemento de la base 1200/100
delante / detrás
n.º art.  8601.200",elemento de base 1200/100,"elemento de base 1200/100
dianteiro / atrás
número do artigo  8601.200",díl podstavce 1200/100,"díl podstavce 1200/100
vpředu / vzadu
č. položky  8601.200",chi tiết lắp bệ 1200/100,"chi tiết lắp bệ 1200/100
đằng trước / ở phía xa
mã số sản phẩm  8601.200",BBAN,Buy,,,each,,,,,,,LONT-64220-001,27180100,false,Dangerous Good No / Hazardous Good No,K01099,ST0001910713,,,,,,,4.13,,1200,100,6.622,kg,Specified,,BELOW,S01 Standardization  BUZ,ML Insourcing (U9),"Hiremath, Nandini",2024-07-23 08:48:58
2,UNE -14953-121,Standard Part,Component,70,1,each,02.2 ,base - aperture lateral 600x100,Released,,,,,,,,-70,+K1,base - aperture lateral 600x100,"base - aperture lateral 600x100
RAL 7022
type designation TS
material sheet steel
order no. . 8601.060",Sockel - Blende seitlich 600x100,"Sockel - Blende seitlich 600x100
RAL 7022
Typenbezeichnung TS
Material Bogen Stahl
Bestell-Nr. . 8601.060",底座 - 观察孔 侧面的 600x100,"底座 - 观察孔 侧面的 600x100
RAL 7022
型号 TS
材料 标识纸/板 钢
订单号 . 8601.060",base - apertura lateral 600x100,"base - apertura lateral 600x100
RAL 7022
denominación de tipo TS
material folio acero
n.º de pedido . 8601.060",base - abertura lateral 600x100,"base - abertura lateral 600x100
RAL 7022
designação de tipo TS
material folha aço
n.° de encomenda . 8601.060",podstavec - clona boční 600x100,"podstavec - clona boční 600x100
RAL 7022
typové označení TS
materiál arch ocel
obj. č. . 8601.060",bệ - khẩu độ bên 600x100,"bệ - khẩu độ bên 600x100
RAL 7022
kí hiệu chủng loại TS
vật liệu tờ thép
đơn hàng số . 8601.060",BBAN,Buy,,,each,,,,,,,,27180100,false,Dangerous Good No / Hazardous Good No,K01099,ST0001911252,,,,,,,2.25,,600,100,1.998,kg,Specified,,BELOW,S01 Standardization  BUZ,ML Insourcing (U9),"Hiremath, Nandini",2024-08-06 10:01:07
